序号,发行人_链接,发行人,审核问询轮次,文件名称_链接,文件名称,披露日期
214,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=697,广州三孚新材料科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202011/17a374c90987435ba10a17589406656c.pdf,8-1 发行人及保荐机构回复意见,2020-11-11
215,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=655,广州市品高软件股份有限公司,1,http://static.sse.com.cn/stock/information/c/202011/5fa906406d324f9586f0be5cd416c48b.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2020-11-03
216,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=655,广州市品高软件股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/a3887e4ea4ba4a67a4c797104e29521d.pdf,8-1 发行人及保荐机构回复意见,2020-09-28
217,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=989,广州思林杰科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202111/b3b87ae786de4e648c9f130f0eb07bcf.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2021-11-11
218,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=989,广州思林杰科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/ecb8b83f539d431cb1afb4544f473419.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2021-09-23
219,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=392,广州中望龙腾软件股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/2e6e781c87d342698df8f0c33743e8ff.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复（豁免版）,2020-07-13
220,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=392,广州中望龙腾软件股份有限公司,1,http://static.sse.com.cn/stock/information/c/202006/a9b851cc2108433f9dfed81dba18627e.pdf,8-1 发行人及保荐机构回复意见,2020-06-14
221,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=632,贵州航宇科技发展股份有限公司,1,http://static.sse.com.cn/stock/information/c/202011/e9434267d9ec4d61872c3ca65a92c8e6.pdf,8-1 发行人及保荐机构回复意见（第二轮问询）,2020-11-30
222,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=632,贵州航宇科技发展股份有限公司,1,http://static.sse.com.cn/stock/information/c/202010/0bf6d7621349426b916c1c76406acb76.pdf,8-1 发行人及保荐机构回复意见,2020-10-12
223,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1055,贵州振华风光半导体股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/d16a2c45990a429abdb5d308630a25a4.pdf,8-1-2 发行人及保荐机构第二轮问询回复意见,2022-03-31
224,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1055,贵州振华风光半导体股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/d7f269ded445499f822ae634eae8be07.pdf,8-1 发行人及保荐机构首轮问询回复意见,2022-03-03
225,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=839,贵州振华新材料股份有限公司,1,http://static.sse.com.cn/stock/information/c/202105/72bba0c9caa346d799b571c6b7a8daaf.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2021-05-18
226,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=839,贵州振华新材料股份有限公司,1,http://static.sse.com.cn/stock/information/c/202104/fbb800a7dcd34e4f8fd30a83894d8673.pdf,8-1 发行人及保荐机构回复意见,2021-04-06
227,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=685,国泰新点软件股份有限公司,1,http://static.sse.com.cn/stock/information/c/202010/82d74f77cfda45d39b7d96fdb689c1c7.pdf,8-1发行人及保荐机构关于第二轮审核问询函的回复,2020-10-15
228,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=685,国泰新点软件股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/e36860b15bfb48ccbd6f3a71c0afcfd3.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2020-09-15
229,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1081,哈尔滨国铁科技集团股份有限公司,1,http://static.sse.com.cn/stock/information/c/202204/83fc2f3d92ee49e6afffc9e6a88b5b88.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2022-04-15
230,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1081,哈尔滨国铁科技集团股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/1df63e559d3d439183ea1f6e1092a37f.pdf,8-1 发行人及保荐机构关于审核问询函的回复意见,2022-03-18
231,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=51,哈尔滨新光光电科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/0fc1cc8ad68b4a3caa032a75f913895f.pdf,哈尔滨新光光电科技股份有限公司及中信建投证券股份有限公司关于第二轮审核问询函的回复,2019-05-23
232,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=51,哈尔滨新光光电科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201904/61f78462b7524f51ab62dc153c27204a.pdf,哈尔滨新光光电科技股份有限公司及中信建投证券股份有限公司关于审核问询函的回复,2019-04-30
233,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=890,海创药业股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/814d43c4a7814e03b571c657810bd3fa.pdf,8-1 海创药业股份有限公司首次公开发行股票并在科创板上市申请文件的第二轮审核问询函之回复报告,2021-09-16
234,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=890,海创药业股份有限公司,1,http://static.sse.com.cn/stock/information/c/202108/0a1cf24188614d16828f85d09b5604d2.pdf,8-1 海创药业股份有限公司首次公开发行股票并在科创板上市申请文件的审核问询函之回复报告,2021-08-13
235,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1043,海光信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/3eea8d570c8748d585be8333f4563e21.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2022-03-04
236,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1043,海光信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202201/c3ac69a611a848b3abfc5539839c2fa6.pdf,8-1 发行人及保荐机构回复,2022-01-24
237,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=433,海南金盘智能科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/964531a0fc0a494693fc65c71c0a8187.pdf,8-1 发行人及保荐机构关于海南金盘智能科技股份有限公司首次公开发行股票并在科创板上市申请文件的第二轮审核问询函的回复,2020-09-17
238,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=433,海南金盘智能科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/b2ebfbc3442a4b3d8330f09bee544238.pdf,8-1 发行人及保荐机构关于海南金盘智能科技股份有限公司首次公开发行股票并在科创板上市申请文件的审核问询函的回复,2020-07-29
239,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=423,杭州爱科科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202008/494e1d424e4a44c4aef41a96cd54cbfa.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2020-08-21
240,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=423,杭州爱科科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/eb37c73039534f648a4cf0b2277b239c.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2020-07-02
241,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=96,杭州安恒信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/94f3262b1293417a901d70f24db6a6d3.pdf,8-1 发行人及保荐机构回复意见（三）,2019-06-03
242,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=96,杭州安恒信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/c678064fb799402186d7bb595c34ea74.pdf,8-1 发行人及保荐机构回复意见（二）,2019-05-21
243,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=96,杭州安恒信息技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/27a49c2870bd4e3db9226e97ffb4f25e.pdf,8-1 发行人及保荐机构回复意见,2019-05-07
244,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=521,杭州安旭生物科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/265248682807446d9b028db868494e3d.pdf,8-1 发行人及保荐机构第二轮问询回复意见,2020-09-25
245,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=521,杭州安旭生物科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202008/60266e6f15fa43a8931ddc394f250bee.pdf,8-1 发行人及保荐机构回复意见,2020-08-13
246,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=747,杭州博拓生物科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202102/e1e9000adb814353925f99c980059f0d.pdf,8-1 发行人及保荐机构关于审核问询函的回复（二）,2021-02-09
247,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=747,杭州博拓生物科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202101/6704c978e25b4927832a1da546ae2e25.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2021-01-04
248,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=58,杭州当虹科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201909/6dc0a3f42d65416faeece687306d3295.pdf,8-1 发行人及保荐机构回复意见（四）,2019-09-03
249,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=58,杭州当虹科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201907/92680ed60e6642d18ff2595317687947.pdf,8-1 发行人及保荐机构回复意见（三）,2019-07-19
250,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=58,杭州当虹科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/862aa38af3d64b3eb26b19f67e0cc8fc.pdf,杭州当虹科技股份有限公司及中信证券股份有限公司关于第二轮审核问询函之回复报告,2019-05-29
251,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=58,杭州当虹科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/c8f4598ab446420c880afaad78abbb84.pdf,杭州当虹科技股份有限公司及中信证券股份有限公司关于审核问询函之回复报告,2019-05-07
252,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=170,杭州光云科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201911/1d75841addda43dd9956b01eacbe1781.pdf,8-1-2 发行人及保荐机构关于杭州光云科技股份有限公司首次公开发行股票并在科创板上市申请文件的第二轮审核问询函的回复,2019-11-15
253,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=170,杭州光云科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201909/9975bf65a5fe44c4ad0753886b1a7dc7.pdf,8-1-1 发行人及保荐机构关于杭州光云科技股份有限公司首次公开发行股票并在科创板上市申请文件的审核问询函的回复（2019年半年报财务数据更新版）,2019-09-30
254,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=828,杭州禾迈电力电子股份有限公司,1,http://static.sse.com.cn/stock/information/c/202106/a41918eb9f464551aa13f67896fae6ba.pdf,8-1 发行人及保荐机构关于第二轮审核问询函回复,2021-06-29
255,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=828,杭州禾迈电力电子股份有限公司,1,http://static.sse.com.cn/stock/information/c/202105/21c2ca21fe3744a78f0f5a7317a695d4.pdf,8-1 关于杭州禾迈电力电子股份有限公司首次公开发行股票并在科创板上市申请文件的审核问询函回复,2021-05-28
256,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=28,杭州鸿泉物联网技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/faf3e8cd190a461fbb0b1326f9a180c6.pdf,8-1 发行人及保荐机构关于第三轮审核问询函的回复,2019-06-12
257,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=28,杭州鸿泉物联网技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/33b678f763c1481a814d3e5596d7869f.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2019-05-24
258,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=28,杭州鸿泉物联网技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/445cee8082754d77afea3604ba38aa32.pdf,8-1 发行人及保荐机构回复意见,2019-05-05
259,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1041,杭州晶华微电子股份有限公司,1,http://static.sse.com.cn/stock/information/c/202202/f6d7d4a631dd43e1a85f2632a42d1caf.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2022-02-15
260,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1041,杭州晶华微电子股份有限公司,1,http://static.sse.com.cn/stock/information/c/202201/e6c4c0dc2da740b29996d3696ef217e3.pdf,8-1 发行人及保荐机构回复意见,2022-01-19
261,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=993,杭州景业智能科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202111/17e66065f3054c71b69c69d22bf8d3ea.pdf,8-1-3 发行人及保荐机构关于审核三轮问询函的回复,2021-11-30
262,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=993,杭州景业智能科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202111/45f94960abbc41919974759500fa3ff1.pdf,8-1-2 发行人及保荐机构关于审核二轮问询函的回复,2021-11-24
263,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=993,杭州景业智能科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/cdb1377afb5e4485b8b8a506df6efec0.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2021-09-17
264,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=781,杭州凯尔达焊接机器人股份有限公司,1,http://static.sse.com.cn/stock/information/c/202106/c7ac51bfbb004703882a6b2a215e2a05.pdf,8-1-2 发行人及保荐机构回复意见（二）,2021-06-17
265,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=781,杭州凯尔达焊接机器人股份有限公司,1,http://static.sse.com.cn/stock/information/c/202102/2459006dda824778965ba9ec4ba53cda.pdf,8-1 发行人及保荐机构回复意见,2021-02-26
266,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=564,杭州柯林电气股份有限公司,1,http://static.sse.com.cn/stock/information/c/202010/a0d29f57037641b9abb8add393c0db68.pdf,8-1-2 发行人及保荐机构关于杭州柯林电气股份有限公司首次公开发行股票并在科创板上市申请文件的第二轮审核问询函的回复（豁免版）,2020-10-13
267,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=564,杭州柯林电气股份有限公司,1,http://static.sse.com.cn/stock/information/c/202008/9259b71e035a4a8e9cb54bd9c78faf25.pdf,8-1 发行人及保荐机构关于杭州柯林电气股份有限公司首次公开发行股票并在科创板上市申请文件的第一轮审核问询函的回复,2020-08-21
268,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=452,杭州美迪凯光电科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/30bd14a5089d41c68c45bc9f75461aad.pdf,8-1-3 发行人及保荐机构第三轮问询回复意见,2020-09-23
269,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=452,杭州美迪凯光电科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/fb4162c2a0d24b77a2fb005a6ba2f7ce.pdf,8-1-2 发行人及保荐机构第二轮问询回复意见,2020-09-08
270,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=452,杭州美迪凯光电科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/da10e102602d451d9bba429333f15e92.pdf,8-1 发行人及保荐机构回复意见,2020-07-23
271,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=705,合肥工大高科信息科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202012/d8e580dc2f894a97b24bbb70c89445b8.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2020-12-18
272,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=705,合肥工大高科信息科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202011/3a8e29e28cb04954ad4ac8e8a11b40dc.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2020-11-10
273,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=296,合肥江航飞机装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/202005/7eb4b13fdae744a58e1386d20b9e816b.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2020-05-14
274,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=296,合肥江航飞机装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/202004/fd3f886821294dad9b521974bf8baea3.pdf,8-1 发行人及保荐机构回复意见,2020-04-15
275,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=949,合肥井松智能科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202111/421c73581dda44fb868ae2be4d7bf235.pdf,8-1 发行人及保荐机构第二轮审核问询函回复意见-豁免版,2021-11-17
276,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=949,合肥井松智能科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/d1743bd2a3604ecdb98522ab3c588109.pdf,8-1 发行人及保荐机构关于第一轮审核问询函的回复（豁免版）,2021-09-10
277,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=381,科威尔技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202006/db72e23999ee40178cbc41793fe6e926.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2020-06-15
278,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=381,科威尔技术股份有限公司,1,http://static.sse.com.cn/stock/information/c/202005/539455ab5d324413b9a9f23f83b55a23.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2020-05-22
279,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=460,合肥芯碁微电子装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/ff6ca1d2b32645e898a520eff9094617.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2020-09-29
280,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=460,合肥芯碁微电子装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/29db0f5af01341299cc92efe94830341.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2020-07-28
281,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1047,合肥新汇成微电子股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/ca90b38e15cf4581aaabc802826c52f2.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2022-03-10
282,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1047,合肥新汇成微电子股份有限公司,1,http://static.sse.com.cn/stock/information/c/202202/741dd74622774675bcf09b66698a580f.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2022-02-08
283,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=914,和元生物技术（上海）股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/94dd84de68554289a6c7c9b0b5980d3e.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2021-09-10
284,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=914,和元生物技术（上海）股份有限公司,1,http://static.sse.com.cn/stock/information/c/202108/7c0e371f6ee34fe9af6bdf74b7aa4d4d.pdf,8-1 发行人及保荐机构回复意见,2021-08-13
285,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=355,河南仕佳光子科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202005/77223c8c6bcc48da93d3cd9f30d6b9f8.pdf,8-1-2 河南仕佳光子科技股份有限公司及华泰联合证券有限责任公司关于第二轮审核问询函的回复,2020-05-28
286,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=355,河南仕佳光子科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202005/c698f24443654056b3b0fe96c2577c0f.pdf,8-1-1 河南仕佳光子科技股份有限公司及华泰联合证券有限责任公司关于审核问询函的回复,2020-05-13
287,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=520,河南翔宇医疗设备股份有限公司,1,http://static.sse.com.cn/stock/information/c/202009/3465ea86786149298cc66c99309c72c0.pdf,8-1 发行人及保荐机构第二轮回复意见,2020-09-11
288,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=520,河南翔宇医疗设备股份有限公司,1,http://static.sse.com.cn/stock/information/c/202008/6d6a9672a2dc4987bff4b93b94b575c3.pdf,8-1发行人及保荐机构回复意见,2020-08-18
289,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1039,恒烁半导体（合肥）股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/14c2698d01054f7e82baddeb87a39b88.pdf,8-1 发行人及保荐机构关于第三轮审核问询的回复,2022-03-02
290,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1039,恒烁半导体（合肥）股份有限公司,1,http://static.sse.com.cn/stock/information/c/202202/30d3521464564602a85d65b7b150fe4e.pdf,8-1 发行人及保荐机构关于第二轮审核问询的回复,2022-02-20
291,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1039,恒烁半导体（合肥）股份有限公司,1,http://static.sse.com.cn/stock/information/c/202201/2c61c835d6a7483a908fd98138d788b5.pdf,8-1 发行人及保荐机构回复意见,2022-01-13
292,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=405,恒玄科技（上海）股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/2ac39660ee0742949d3a0c562016598c.pdf,8-1 发行人及保荐机构回复意见（二）,2020-07-01
293,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=405,恒玄科技（上海）股份有限公司,1,http://static.sse.com.cn/stock/information/c/202006/da237857eadf46638e00f40423187ecf.pdf,8-1 发行人及保荐机构回复意见,2020-06-11
294,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=36,虹软科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201906/5a26c57c8f9c4b0a9a345639e961b6e7.pdf,虹软科技及中信建投证券、华泰联合证券关于第四轮审核问询函的回复,2019-06-09
295,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=36,虹软科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/d6bda5107bac4ad0b4b8271c6b8f6eca.pdf,虹软科技及中信建投证券、华泰联合证券关于第三轮审核问询函的回复,2019-05-31
296,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=36,虹软科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201905/ae2259cb81814040a0b9e5a40a086aed.pdf,虹软科技及中信建投证券、华泰联合证券关于第二轮审核问询函的回复,2019-05-23
297,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=36,虹软科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/201904/06c4c335bcc8422483361df6030d57bc.pdf,虹软科技及中信建投证券、华泰联合证券关于审核问询函的回复,2019-04-30
298,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=893,湖北超卓航空科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/88d0e78a13924abcbc998847f7c2e568.pdf,8-1 发行人及保荐机构第三轮问询回复意见,2021-09-28
299,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=893,湖北超卓航空科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202109/868ec97d4b4646939d0cd59012ee0dda.pdf,8-1-2 发行人及保荐机构第二轮问询回复意见,2021-09-06
300,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=893,湖北超卓航空科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202107/731fe2b8c6034bff9043419d72477449.pdf,8-1 发行人及保荐机构回复意见,2021-07-15
301,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=817,湖北华强科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202106/cbda63915efa4ff8ad2f20bab0276316.pdf,8-1 发行人及保荐机构第二轮审核问询函回复（豁免版）,2021-06-09
302,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=817,湖北华强科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202105/5a1353b18608445ea9f648df3fbd9406.pdf,8-1 发行人及保荐机构回复意见,2021-05-18
303,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1087,湖北万润新能源科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202205/b0420bc771254847bad71f86ef465312.pdf,8-1-3 发行人及保荐机构第三轮审核问询函回复,2022-05-31
304,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1087,湖北万润新能源科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202205/13871fd66e334d88b27920bd00fa40d4.pdf,8-1-2 发行人及保荐机构第二轮审核问询函回复,2022-05-10
305,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1087,湖北万润新能源科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/7e1f48c293dc4df09a177ba6e58344c3.pdf,8-1-1 发行人及保荐机构关于审核问询函的回复,2022-03-30
306,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=274,湖南金博碳素股份有限公司,1,http://static.sse.com.cn/stock/information/c/202002/a3ddf0eee00746fbac0816012a251814.pdf,8-1-3 发行人及保荐机构第三轮回复意见,2020-02-24
307,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=274,湖南金博碳素股份有限公司,1,http://static.sse.com.cn/stock/information/c/202001/94882c159ad0433ba0d986cf2a2ed69b.pdf,8-1 发行人及保荐机构第二轮回复意见,2020-01-09
308,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=274,湖南金博碳素股份有限公司,1,http://static.sse.com.cn/stock/information/c/201911/be0d45f478b247148edba79e1916ea2d.pdf,8-1 关于《 关于湖南金博碳素股份有限公司首次公开发行股票并在科创板上市申请文件的审核问询函》的回复,2019-11-29
309,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=199,湖南南新制药股份有限公司,1,http://static.sse.com.cn/stock/information/c/201912/9212d9c8324c4ce0a36ea4b96541fd7a.pdf,8-1 发行人及保荐机构关于第三轮问询函的回复意见,2019-12-19
310,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=199,湖南南新制药股份有限公司,1,http://static.sse.com.cn/stock/information/c/201911/319ed744a1ca478ebc91815cfa45fed1.pdf,8-1 发行人及保荐机构关于第二轮问询函的回复意见,2019-11-10
311,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=199,湖南南新制药股份有限公司,1,http://static.sse.com.cn/stock/information/c/201910/97b92522a0dc4429baa6f783f6a63fbc.pdf,8-1 发行人及保荐机构回复意见,2019-10-15
312,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1077,湖南麒麟信安科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202204/16da798bab2e407082e8fb51b23f276b.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复意见,2022-04-28
313,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1077,湖南麒麟信安科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/caaf1192ecdb41ff99ad7acfe8be7448.pdf,8-1 发行人及保荐机构回复意见,2022-03-31
